Rk,G,Date,Age,Tm,LOC,Opp,W/L,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Line
14,14,5/27/2024,37-359,BOS,@,IND,W (+3),1,39:34:00,2,4,0.5,1,3,0.333,2,2,1,2,6,8,5,1,1,0,2,7,12.6,3,11.5
13,13,5/25/2024,37-357,BOS,@,IND,W (+3),1,34:49:00,8,14,0.571,7,12,0.583,0,0,,3,2,5,0,1,3,1,2,23,20.4,5,10.5
12,12,5/23/2024,37-355,BOS,,IND,W (+16),1,24:58:00,3,6,0.5,0,1,0,0,0,,4,6,10,0,2,0,1,0,6,8.6,13,10.5
11,11,5/21/2024,37-353,BOS,,IND,W (+5),1,39:35:00,5,15,0.333,3,12,0.25,2,3,0.667,2,4,6,1,0,3,0,2,15,10.7,3,9.5
10,10,5/15/2024,37-347,BOS,,CLE,W (+15),1,34:58:00,8,15,0.533,6,13,0.462,0,0,,7,8,15,5,1,3,4,1,22,24.2,26,8.5
9,9,5/13/2024,37-345,BOS,@,CLE,W (+7),1,28:09:00,3,9,0.333,0,4,0,0,0,,1,5,6,0,0,1,0,0,6,3.8,11,8.5
8,8,5/11/2024,37-343,BOS,@,CLE,W (+13),1,38:46:00,1,7,0.143,0,6,0,0,0,,3,4,7,2,0,0,0,3,2,1,12,9.5
7,7,5/9/2024,37-341,BOS,,CLE,L (-24),1,28:47:00,4,9,0.444,3,7,0.429,0,0,,1,1,2,1,0,1,1,3,11,6.5,-6,9.5
6,6,5/7/2024,37-339,BOS,,CLE,W (+25),1,27:29:00,3,7,0.429,1,5,0.2,0,0,,0,8,8,4,1,0,0,1,7,9.1,15,9.5
5,5,5/1/2024,37-333,BOS,,MIA,W (+34),1,22:41,3,4,0.75,1,2,0.5,1,2,0.5,1,5,6,3,1,0,0,1,8,10.9,10,9.5
4,4,4/29/2024,37-331,BOS,@,MIA,W (+14),0,33:58:00,3,5,0.6,1,3,0.333,0,0,,1,7,8,2,1,0,1,4,7,7.3,15,6.5
3,3,4/27/2024,37-329,BOS,@,MIA,W (+20),0,22:14,4,7,0.571,1,4,0.25,0,0,,2,4,6,1,0,0,0,0,9,9,15,6.5
2,2,4/24/2024,37-326,BOS,,MIA,L (-10),0,23:28,2,3,0.667,1,1,1,1,2,0.5,1,7,8,3,1,1,1,0,6,9.9,8,6.5
1,1,4/21/2024,37-323,BOS,,MIA,W (+20),0,25:40:00,4,8,0.5,2,5,0.4,0,0,,2,5,7,0,0,0,0,0,10,8.9,2,6.5
80,65,4/11/2024,37-313,BOS,,NYK,L (-9),0,15:32,2,3,0.667,2,3,0.667,0,0,,0,2,2,1,1,2,1,2,6,6.6,-18,6.5
78,64,4/7/2024,37-309,BOS,,POR,W (+17),1,20:55,3,6,0.5,1,4,0.25,0,0,,1,5,6,3,1,0,1,0,7,8.3,7,8.5
77,63,4/5/2024,37-307,BOS,,SAC,W (+1),1,20:03,3,7,0.429,1,5,0.2,1,2,0.5,0,6,6,1,0,1,0,0,8,7.1,3,10.5
76,62,4/3/2024,37-305,BOS,,OKC,W (+35),0,24:41:00,7,10,0.7,2,4,0.5,0,0,,2,2,4,2,0,1,2,1,16,13.5,32,6.5
72,59,3/25/2024,37-296,BOS,@,ATL,L (-2),1,35:32:00,3,5,0.6,1,2,0.5,0,0,,1,8,9,2,1,1,1,1,7,9.5,-5,6.5
71,58,3/23/2024,37-294,BOS,@,CHI,W (+11),1,31:13:00,8,16,0.5,5,10,0.5,2,2,1,2,6,8,1,0,0,2,1,23,16.5,9,8.5
69,57,3/20/2024,37-291,BOS,,MIL,W (+3),1,38:07:00,3,3,1,2,2,1,0,0,,1,3,4,4,1,1,2,2,8,10.4,15,10.5
67,56,3/17/2024,37-288,BOS,@,WAS,W (+26),1,22:48,5,7,0.714,2,4,0.5,2,2,1,2,2,4,2,0,0,1,3,14,12.3,16,8.5
66,55,3/14/2024,37-285,BOS,,PHO,W (+15),1,32:48:00,8,14,0.571,6,10,0.6,2,2,1,2,1,3,3,3,1,1,1,24,23.5,15,12.5
64,54,3/11/2024,37-282,BOS,@,POR,W (+22),1,29:51:00,4,4,1,3,3,1,0,0,,0,4,4,4,1,3,0,1,11,16.5,11,9.5
63,53,3/9/2024,37-280,BOS,@,PHO,W (+10),1,32:11:00,4,12,0.333,1,7,0.143,0,0,,3,9,12,3,1,0,1,4,9,7.5,0,9.5
62,52,3/7/2024,37-278,BOS,@,DEN,L (-6),0,18:51,0,2,0,0,1,0,2,2,1,1,3,4,0,0,0,0,1,2,1.8,-10,8.5
61,51,3/5/2024,37-276,BOS,@,CLE,L (-1),0,19:50,3,8,0.375,1,4,0.25,0,0,,2,3,5,0,1,0,1,1,7,4.5,-2,6.5
60,50,3/3/2024,37-274,BOS,,GSW,W (+52),1,20:39,3,5,0.6,1,2,0.5,0,0,,0,4,4,4,1,0,0,2,7,8.9,35,6.5
59,49,3/1/2024,37-272,BOS,,DAL,W (+28),0,27:44:00,5,8,0.625,2,5,0.4,0,0,,1,7,8,3,0,2,1,1,12,13.3,21,9.5
58,48,2/27/2024,37-269,BOS,,PHI,W (+18),0,21:11,4,6,0.667,0,2,0,0,0,,0,5,5,1,1,1,0,1,8,8.9,-5,6.5
57,47,2/24/2024,37-266,BOS,@,NYK,W (+14),0,26:19:00,5,7,0.714,0,0,,0,0,,4,3,7,0,0,1,0,2,10,10.7,11,6.5
56,46,2/22/2024,37-264,BOS,@,CHI,W (+17),0,22:38,0,1,0,0,0,,0,0,,1,4,5,0,0,1,1,1,0,0.5,1,5.5
54,45,2/13/2024,37-255,BOS,@,BRK,W (+8),1,36:34:00,6,6,1,2,2,1,2,2,1,1,5,6,4,1,0,0,0,16,20.2,2,6.5
53,44,2/11/2024,37-253,BOS,@,MIA,W (+4),0,24:51:00,1,5,0.2,0,2,0,2,2,1,0,5,5,0,0,3,0,1,4,4.1,2,9.5
52,43,2/9/2024,37-251,BOS,,WAS,W (+4),0,23:07,2,5,0.4,1,2,0.5,1,2,0.5,2,3,5,1,2,0,0,1,6,7.5,7,6.5
51,42,2/7/2024,37-249,BOS,,ATL,W (+8),1,36:11:00,5,12,0.417,4,9,0.444,0,0,,2,6,8,8,2,4,1,1,14,19.8,12,7.5
49,40,2/1/2024,37-243,BOS,,LAL,L (-9),0,23:48,2,6,0.333,2,6,0.333,0,0,,0,9,9,1,1,2,0,0,6,8.4,3,8.5
46,38,1/27/2024,37-238,BOS,,LAC,L (-19),1,19:13,0,5,0,0,4,0,0,0,,0,2,2,1,0,0,1,1,0,-3.6,-21,6.5
45,37,1/25/2024,37-236,BOS,@,MIA,W (+33),0,22:30,3,4,0.75,2,3,0.667,0,0,,0,7,7,6,0,1,1,2,8,11.6,12,8.5
44,36,1/22/2024,37-233,BOS,@,DAL,W (+9),1,31:14:00,4,7,0.571,3,6,0.5,0,0,,1,5,6,3,1,0,1,2,11,11.2,8,9.5
42,35,1/19/2024,37-230,BOS,,DEN,L (-2),0,27:15:00,2,5,0.4,2,5,0.4,0,0,,3,7,10,2,0,0,0,3,6,7.7,4,6.5
41,34,1/17/2024,37-228,BOS,,SAS,W (+19),1,24:33:00,3,4,0.75,3,4,0.75,0,0,,0,3,3,0,1,0,0,2,9,8.5,14,8.5
40,33,1/15/2024,37-226,BOS,@,TOR,W (+9),1,35:10:00,4,10,0.4,2,4,0.5,0,0,,2,9,11,2,1,0,1,3,10,8.9,1,6.5
39,32,1/13/2024,37-224,BOS,,HOU,W (+32),0,20:24,2,3,0.667,1,2,0.5,2,2,1,0,4,4,1,0,1,0,0,7,8.3,30,9.5
37,31,1/10/2024,37-221,BOS,,MIN,W (+7),1,38:16:00,3,8,0.375,3,6,0.5,0,0,,1,7,8,5,0,0,1,3,9,8.7,2,9.5
36,30,1/8/2024,37-219,BOS,@,IND,L (-2),1,32:15:00,4,5,0.8,3,4,0.75,0,0,,0,6,6,0,0,1,1,1,11,10.2,-9,5.5
35,29,1/6/2024,37-217,BOS,@,IND,W (+17),0,29:35:00,4,8,0.5,2,5,0.4,0,2,0,1,6,7,8,1,2,2,1,10,13.3,10,9.5
33,28,1/2/2024,37-213,BOS,@,OKC,L (-4),0,19:43,3,5,0.6,1,3,0.333,0,0,,0,2,2,3,1,5,0,0,7,11.9,-13,8.5
29,25,12/25/2023,37-205,BOS,@,LAL,W (+11),0,23:19,2,4,0.5,2,4,0.5,0,0,,0,6,6,1,0,1,0,3,6,6,1,6.5
28,24,12/23/2023,37-203,BOS,@,LAC,W (+37),1,26:49:00,2,6,0.333,2,5,0.4,0,0,,0,8,8,5,1,2,0,2,6,10.1,24,6.5
22,20,12/12/2023,37-192,BOS,,CLE,W (+7),0,22:18,1,3,0.333,0,2,0,0,0,,2,3,5,1,1,0,0,0,2,4.3,13,6.5
21,19,12/8/2023,37-188,BOS,,NYK,W (+10),0,27:21:00,5,8,0.625,3,6,0.5,1,1,1,2,8,10,2,0,0,2,1,14,13.2,9,9.5
19,17,12/1/2023,37-181,BOS,,PHI,W (+6),1,33:19:00,7,9,0.778,2,4,0.5,4,4,1,2,4,6,3,1,2,1,4,20,21,10,9.5
18,16,11/28/2023,37-178,BOS,,CHI,W (+27),1,28:24:00,6,8,0.75,4,6,0.667,0,0,,0,9,9,6,2,3,3,3,16,19.6,18,6.5
17,15,11/26/2023,37-176,BOS,,ATL,W (+10),1,32:24:00,3,8,0.375,0,5,0,0,0,,3,12,15,3,1,2,0,1,6,11.4,17,6.5
16,14,11/24/2023,37-174,BOS,@,ORL,L (-17),1,32:58:00,1,5,0.2,1,5,0.2,0,0,,0,5,5,3,0,0,1,4,3,0.9,-26,7.5
13,12,11/19/2023,37-169,BOS,@,MEM,W (+2),0,21:35,2,5,0.4,1,3,0.333,0,0,,2,1,3,2,0,0,0,2,5,4.6,2,10.5
11,10,11/15/2023,37-165,BOS,@,PHI,W (+10),1,28:49:00,5,9,0.556,4,8,0.5,0,0,,1,7,8,3,0,5,0,2,14,17.3,14,9.5
9,8,11/11/2023,37-161,BOS,,TOR,W (+23),0,24:01:00,3,5,0.6,1,3,0.333,0,0,,1,6,7,4,0,0,0,2,7,9.2,11,8.5
7,7,11/8/2023,37-158,BOS,@,PHI,L (-3),0,26:13:00,1,6,0.167,1,6,0.167,0,0,,0,5,5,3,0,2,1,1,3,2.8,-23,9.5
6,6,11/6/2023,37-156,BOS,@,MIN,L (-5),1,36:02:00,1,5,0.2,1,4,0.25,0,0,,2,3,5,4,1,0,2,4,3,2.4,7,7.5
4,4,11/1/2023,37-151,BOS,,IND,W (+51),0,11:03,1,3,0.333,1,1,1,2,2,1,2,2,4,0,1,1,1,0,5,6,7,6.5
2,2,10/27/2023,37-146,BOS,,MIA,W (+8),0,24:38:00,0,6,0,0,2,0,0,0,,3,7,10,2,0,1,3,1,0,-1.3,7,5.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5
