Date,Matchup,Score,Spread Result,Minutes,Prop Line,PTS,REBS,ASSISTS,3s Scored,STEALS,BLOCKS,FGM-FGA (%),FTM-FTA (%),3PM-3PA (%)
5/27,Indiana Logo @IND,W 105-102,IND +7.5,40,11.5,U 7,8,5,1,1,1,2-4 (50%),2-2 (100%),1-3 (33%)
5/25,Indiana Logo @IND,W 114-111,IND +7.5,35,10.5,O 23,5,0,7,1,3,8-14 (57%),0-0 (0%),7-12 (58%)
5/23,Indiana Logo IND,W 126-110,BOS -9.0,25,10.5,U 6,10,0,0,2,0,3-6 (50%),0-0 (0%),0-1 (0%)
5/21,Indiana Logo IND,W 133-128,IND +9.5,40,9.5,O 15,6,1,3,0,3,5-15 (33%),2-3 (67%),3-12 (25%)
5/15,Cleveland Logo CLE,W 113-98,CLE +16.0,35,8.5,O 22,15,5,6,1,3,8-15 (53%),0-0 (0%),6-13 (46%)
5/13,Cleveland Logo @CLE,W 109-102,CLE +11.5,28,8.5,U 6,6,0,0,0,1,3-9 (33%),0-0 (0%),0-4 (0%)
5/11,Cleveland Logo @CLE,W 106-93,BOS -7.5,39,9.5,U 2,7,2,0,0,0,1-7 (14%),0-0 (0%),0-6 (0%)
5/9,Cleveland Logo CLE,L 118-94,CLE +13.0,29,9.5,O 11,2,1,3,0,1,4-9 (44%),0-0 (0%),3-7 (43%)
5/7,Cleveland Logo CLE,W 120-95,BOS -12.5,27,9.5,U 7,8,4,1,1,0,3-7 (43%),0-0 (0%),1-5 (20%)
5/1,Miami Logo MIA,W 118-84,BOS -13.5,23,9.5,U 8,6,3,1,1,0,3-4 (75%),1-2 (50%),1-2 (50%)
4/29,Miami Logo @MIA,W 102-88,BOS -10.5,34,6.5,O 7,8,2,1,1,0,3-5 (60%),0-0 (0%),1-3 (33%)
4/27,Miami Logo @MIA,W 104-84,BOS -9.5,22,6.5,O 9,6,1,1,0,0,4-7 (57%),0-0 (0%),1-4 (25%)
4/24,Miami Logo MIA,L 111-101,MIA +14.5,23,6.5,U 6,8,3,1,1,1,2-3 (67%),1-2 (50%),1-1 (100%)
4/21,Miami Logo MIA,W 114-94,BOS -14.0,26,6.5,O 10,7,0,2,0,0,4-8 (50%),0-0 (0%),2-5 (40%)
4/11,New York Logo NYK,L 118-109,NYK +3.5,16,6.5,U 6,2,1,2,1,2,2-3 (67%),0-0 (0%),2-3 (67%)
4/7,Portland Logo POR,W 124-107,PUSH -17.0,21,8.5,U 7,6,3,1,1,0,3-6 (50%),0-0 (0%),1-4 (25%)
4/5,Sacramento Logo SAC,W 101-100,SAC +9.5,20,10.5,U 8,6,1,1,0,1,3-7 (43%),1-2 (50%),1-5 (20%)
4/3,Oklahoma City Logo OKC,W 135-100,BOS -12.0,25,6.5,O 16,4,2,2,0,1,7-10 (70%),0-0 (0%),2-4 (50%)
4/1,Charlotte Logo @CHA,W 118-104,CHA +18.5,25,NL,15,5,3,3,0,0,6-11 (55%),0-0 (0%),3-6 (50%)
3/30,New Orleans Logo @NOR,W 104-92,BOS -6.0,30,6.5,O 9,6,2,1,1,1,4-7 (57%),0-0 (0%),1-3 (33%)
3/25,Atlanta Logo @ATL,L 120-118,ATL +10.5,36,8.5,U 7,9,2,1,1,1,3-5 (60%),0-0 (0%),1-2 (50%)
3/23,Chicago Logo @CHI,W 124-113,BOS -5.5,31,10.5,O 23,8,1,5,0,0,8-16 (50%),2-2 (100%),5-10 (50%)
3/20,Milwaukee Logo MIL,W 122-119,MIL +10.5,38,8.5,U 8,4,4,2,1,1,3-3 (100%),0-0 (0%),2-2 (100%)
3/17,Washington Logo @WAS,W 130-104,BOS -14.5,23,12.5,O 14,4,2,2,0,0,5-7 (71%),2-2 (100%),2-4 (50%)
3/14,Phoenix Logo PHO,W 127-112,BOS -5.5,33,9.5,O 24,3,3,6,3,1,8-14 (57%),2-2 (100%),6-10 (60%)
3/11,Portland Logo @POR,W 121-99,BOS -11.5,30,9.5,O 11,4,4,3,1,3,4-4 (100%),0-0 (0%),3-3 (100%)
3/9,Phoenix Logo @PHO,W 117-107,BOS -5.5,32,8.5,O 9,12,3,1,1,0,4-12 (33%),0-0 (0%),1-7 (14%)
3/7,Denver Logo @DEN,L 115-109,DEN +2.0,19,6.5,U 2,4,0,0,0,0,0-2 (0%),2-2 (100%),0-1 (0%)
3/5,Cleveland Logo @CLE,L 105-104,CLE +8.5,20,6.5,O 7,5,0,1,1,0,3-8 (38%),0-0 (0%),1-4 (25%)
3/3,Golden State Logo GSW,W 140-88,BOS -8.0,21,9.5,U 7,4,4,1,1,0,3-5 (60%),0-0 (0%),1-2 (50%)
3/1,Dallas Logo DAL,W 138-110,BOS -8.5,28,6.5,O 12,8,3,2,0,2,5-8 (63%),0-0 (0%),2-5 (40%)
2/27,Philadelphia Logo PHI,W 117-99,BOS -11.5,21,6.5,O 8,5,1,0,1,1,4-6 (67%),0-0 (0%),0-2 (0%)
2/24,New York Logo @NYK,W 116-102,BOS -6.0,26,5.5,O 10,7,0,0,0,1,5-7 (71%),0-0 (0%),0-0 (0%)
2/22,Chicago Logo @CHI,W 129-112,BOS -8.5,23,6.5,U 0,5,0,0,0,1,0-1 (0%),0-0 (0%),0-0 (0%)
2/13,Brooklyn Logo @BKN,W 118-110,PUSH -8.0,37,9.5,O 16,6,4,2,1,0,6-6 (100%),2-2 (100%),2-2 (100%)
2/11,Miami Logo @MIA,W 110-106,MIA +7.5,25,6.5,U 4,5,0,0,0,3,1-5 (20%),2-2 (100%),0-2 (0%)
2/9,Washington Logo WAS,W 133-129,WAS +18.0,23,7.5,U 6,5,1,1,2,0,2-5 (40%),1-2 (50%),1-2 (50%)
2/7,Atlanta Logo ATL,W 125-117,ATL +11.5,36,8.5,O 14,8,8,4,2,4,5-12 (42%),0-0 (0%),4-9 (44%)
