Rk,G,Date,Age,Tm,LOC,Opp,W/L,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Line
18,18,6/6/2024,25-249,DAL,@,BOS,L (-18),1,14:19,3,3,1,0,0,,2,2,1,3,0,3,1,1,0,0,0,8,10.9,-10,8.5
17,17,5/30/2024,25-242,DAL,@,MIN,W (+21),1,20:13,3,3,1,0,0,,5,6,0.833,2,7,9,0,0,1,2,5,11,9.9,26,8.5
16,16,5/28/2024,25-240,DAL,,MIN,L (-5),1,31:21:00,6,6,1,0,0,,0,0,,2,6,8,1,1,3,0,3,12,16,-1,10.5
15,15,5/26/2024,25-238,DAL,,MIN,W (+9),1,28:49:00,2,4,0.5,0,0,,1,1,1,0,3,3,1,0,3,3,4,5,2.1,10,8.5
14,14,5/24/2024,25-236,DAL,@,MIN,W (+1),1,21:05,8,10,0.8,0,0,,0,2,0,1,4,5,0,0,5,0,2,16,16,-3,8.5
13,13,5/22/2024,25-234,DAL,@,MIN,W (+3),1,21:07,5,9,0.556,0,0,,0,0,,4,5,9,0,0,1,2,2,10,7.9,-15,7.5
12,12,5/18/2024,25-230,DAL,,OKC,W (+1),1,18:30,4,7,0.571,0,0,,2,4,0.5,4,3,7,1,0,1,1,0,10,10,-25,9.5
11,11,5/15/2024,25-227,DAL,@,OKC,W (+12),1,24:48:00,4,4,1,0,0,,1,2,0.5,1,6,7,1,0,1,1,3,9,9.1,-10,9.5
10,10,5/13/2024,25-225,DAL,,OKC,L (-4),1,22:43,4,7,0.571,0,0,,2,4,0.5,1,7,8,0,0,3,0,0,10,10.8,-5,9.5
9,9,5/11/2024,25-223,DAL,,OKC,W (+4),1,19:31,4,5,0.8,0,0,,0,2,0,1,4,5,3,0,1,1,1,8,8.6,-8,11.5
8,8,5/9/2024,25-221,DAL,@,OKC,W (+9),1,26:45:00,4,6,0.667,0,0,,5,9,0.556,2,5,7,2,1,1,3,2,13,11,-8,10.5
7,7,5/7/2024,25-219,DAL,@,OKC,L (-22),1,27:04:00,5,12,0.417,0,0,,6,8,0.75,5,6,11,1,0,5,1,3,16,16.1,-2,8.5
6,6,5/3/2024,25-215,DAL,,LAC,W (+13),1,22:28,5,8,0.625,0,0,,3,3,1,4,2,6,0,0,0,1,3,13,10.6,17,7.5
5,5,5/1/2024,25-213,DAL,@,LAC,W (+30),1,19:04,2,4,0.5,0,0,,4,6,0.667,1,4,5,0,1,1,0,0,8,8.8,8,7.5
4,4,4/28/2024,25-210,DAL,,LAC,L (-5),1,18:32,1,4,0.25,0,0,,3,4,0.75,2,3,5,2,0,0,2,1,5,3.5,-7,8.5
3,3,4/26/2024,25-208,DAL,,LAC,W (+11),1,25:38:00,4,5,0.8,0,0,,0,0,,3,1,4,0,2,3,0,1,8,12.2,9,6.5
2,2,4/23/2024,25-205,DAL,@,LAC,W (+3),1,9:29,0,3,0,0,0,,0,0,,0,1,1,1,0,0,0,2,0,-1.9,-8,8.5
1,1,4/21/2024,25-203,DAL,@,LAC,L (-12),1,14:03,1,4,0.25,0,0,,1,2,0.5,0,0,0,0,0,1,1,2,3,-0.9,-8,9.5
79,74,4/12/2024,25-194,DAL,,DET,L (-18),1,11:57,3,4,0.75,0,0,0,0,0,,0,2,2,1,0,1,3,2,6,2.6,-5,8.5
78,73,4/10/2024,25-192,DAL,@,MIA,W (+19),1,25:43:00,6,6,1,0,0,0,0,0,,0,5,5,3,1,3,0,0,12,16.9,2,9.5
77,72,4/9/2024,25-191,DAL,@,CHO,W (+26),1,24:45:00,12,12,1,0,0,0,2,4,0.5,2,5,7,1,1,2,0,1,26,27.2,11,11.5
76,71,4/7/2024,25-189,DAL,,HOU,W (+11),1,16:19,3,3,1,0,0,0,0,1,0,0,1,1,0,0,1,2,5,6,1.7,-26,10.5
75,70,4/5/2024,25-187,DAL,,GSW,W (+2),1,31:14:00,5,7,0.714,0,0,0,0,2,0,4,11,15,5,0,3,2,3,10,14.8,8,12.5
74,69,4/4/2024,25-186,DAL,,ATL,W (+14),1,22:43,3,5,0.6,0,0,0,0,0,,1,2,3,1,1,2,0,4,6,6.5,2,11.5
73,68,4/2/2024,25-184,DAL,@,GSW,L (-4),1,27:03:00,5,8,0.625,0,0,0,0,0,,3,5,8,3,1,0,1,5,10,10.1,0,11.5
72,67,3/31/2024,25-182,DAL,@,HOU,W (+18),1,21:34,3,4,0.75,0,0,0,0,0,,1,3,4,3,1,5,1,2,6,10.8,13,11.5
71,66,3/29/2024,25-180,DAL,@,SAC,W (+4),1,23:47,3,5,0.6,0,0,0,0,2,0,2,5,7,0,1,3,2,1,6,6.5,4,11.5
70,65,3/26/2024,25-177,DAL,@,SAC,W (+36),1,21:51,5,7,0.714,0,0,0,0,0,,2,2,4,3,1,0,1,4,10,9.6,21,11.5
69,64,3/25/2024,25-176,DAL,@,UTA,W (+10),1,27:17:00,6,7,0.857,0,0,0,1,2,0.5,4,7,11,5,2,5,0,2,13,23.2,15,12.5
68,63,3/21/2024,25-172,DAL,,UTA,W (+16),1,27:16:00,10,11,0.909,0,0,0,4,6,0.667,3,4,7,5,1,0,1,2,24,25.5,25,11.5
67,62,3/19/2024,25-170,DAL,@,SAS,W (+6),1,24:11:00,5,7,0.714,0,0,0,3,4,0.75,0,8,8,3,1,1,1,4,13,13.3,7,10.5
66,61,3/17/2024,25-168,DAL,,DEN,W (+2),1,24:21:00,4,7,0.571,0,0,0,0,0,0,3,3,6,1,0,1,0,5,8,7.1,13,10.5
