Rk,G,Date,Age,Tm,LOC,Opp,W/L,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Line
18,18,6/6/2024,27-112,DAL,@,BOS,L (-18),1,28:47:00,2,9,0.222,1,2,0.5,0,0,,2,4,6,0,1,0,0,1,5,2.7,-12,8.5
17,17,5/30/2024,27-105,DAL,@,MIN,W (+21),1,29:48:00,2,6,0.333,1,2,0.5,0,0,,2,0,2,2,0,1,0,3,5,3.9,11,8.5
16,16,5/28/2024,27-103,DAL,,MIN,L (-5),1,34:16:00,3,6,0.5,2,3,0.667,1,2,0.5,2,3,5,4,1,0,2,3,9,8.5,3,9.5
15,15,5/26/2024,27-101,DAL,,MIN,W (+9),1,33:20:00,3,4,0.75,3,3,1,2,2,1,1,1,2,2,0,0,2,2,11,9,15,8.5
14,14,5/24/2024,27-099,DAL,@,MIN,W (+1),1,32:42:00,1,5,0.2,0,3,0,2,2,1,0,4,4,1,2,0,1,4,4,2.2,0,8.5
13,13,5/22/2024,27-097,DAL,@,MIN,W (+3),1,34:55:00,4,9,0.444,0,2,0,0,0,,2,2,4,2,0,0,0,1,8,6.3,-8,8.5
12,12,5/18/2024,27-093,DAL,,OKC,W (+1),1,40:21:00,8,13,0.615,4,6,0.667,2,2,1,3,1,4,2,1,1,2,3,22,18.4,18,9.5
11,11,5/15/2024,27-090,DAL,@,OKC,W (+12),1,28:21:00,7,9,0.778,3,5,0.6,2,2,1,0,1,1,1,1,1,0,2,19,17.4,7,8.5
10,10,5/13/2024,27-088,DAL,,OKC,L (-4),1,27:25:00,7,12,0.583,1,5,0.2,2,4,0.5,1,2,3,1,0,4,1,1,17,14,9,8.5
9,9,5/11/2024,27-086,DAL,,OKC,W (+4),1,35:53:00,1,10,0.1,0,3,0,1,1,1,2,2,4,1,2,0,2,2,3,-1.7,-14,8.5
8,8,5/9/2024,27-084,DAL,@,OKC,W (+9),1,28:19:00,3,12,0.25,1,5,0.2,2,2,1,3,2,5,2,0,0,1,4,9,3.3,-2,8.5
7,7,5/7/2024,27-082,DAL,@,OKC,L (-22),1,29:34:00,3,5,0.6,1,3,0.333,0,0,,1,1,2,2,0,2,1,4,7,5.9,-15,8.5
6,6,5/3/2024,27-078,DAL,,LAC,W (+13),1,36:05:00,3,5,0.6,0,1,0,0,0,,2,3,5,2,0,1,1,3,6,5.9,9,10.5
5,5,5/1/2024,27-076,DAL,@,LAC,W (+30),1,29:34:00,5,7,0.714,2,4,0.5,0,1,0,0,3,3,1,0,3,2,5,12,8.4,20,9.5
4,4,4/28/2024,27-073,DAL,,LAC,L (-5),1,33:00:00,6,9,0.667,2,3,0.667,0,1,0,4,3,7,1,1,1,0,4,14,14.2,7,8.5
3,3,4/26/2024,27-071,DAL,,LAC,W (+11),1,27:14:00,4,8,0.5,1,3,0.333,2,2,1,2,1,3,0,0,1,0,1,11,9,12,7.5
2,2,4/23/2024,27-068,DAL,@,LAC,W (+3),1,32:27:00,4,6,0.667,0,1,0,2,4,0.5,2,5,7,0,0,1,2,4,10,6.6,0,5.5
1,1,4/21/2024,27-066,DAL,@,LAC,L (-12),1,17:39,0,4,0,0,1,0,0,0,,1,0,1,0,0,2,0,2,0,-1.5,-14,6.5
81,76,4/12/2024,27-057,DAL,,DET,L (-18),1,13:56,1,2,0.5,0,0,,1,2,0.5,0,1,1,3,0,0,2,1,3,1.6,0,6.5
80,75,4/10/2024,27-055,DAL,@,MIA,W (+19),1,25:46:00,5,12,0.417,1,5,0.2,1,2,0.5,2,0,2,0,2,2,0,3,12,8.8,-1,6.5
79,74,4/9/2024,27-054,DAL,@,CHO,W (+26),1,24:27:00,4,8,0.5,1,5,0.2,0,0,,2,1,3,3,0,1,0,2,9,8.7,22,7.5
78,73,4/7/2024,27-052,DAL,,HOU,W (+11),1,25:33:00,3,4,0.75,2,3,0.667,2,2,1,0,2,2,0,1,0,1,5,10,7,-7,8.5
77,72,4/5/2024,27-050,DAL,,GSW,W (+2),1,35:41:00,3,11,0.273,2,7,0.286,1,2,0.5,2,1,3,1,0,3,1,2,9,4.8,7,9.5
76,71,4/4/2024,27-049,DAL,,ATL,W (+14),1,28:40:00,4,8,0.5,1,3,0.333,5,6,0.833,2,3,5,0,1,1,1,0,14,12.6,13,6.5
75,70,4/2/2024,27-047,DAL,@,GSW,L (-4),1,18:02,0,4,0,0,1,0,0,0,,1,2,3,1,0,2,1,1,0,-0.8,-15,7.5
74,69,3/31/2024,27-045,DAL,@,HOU,W (+18),1,21:11,1,6,0.167,0,1,0,0,0,,1,4,5,1,1,0,2,1,2,-0.6,4,6.5
73,68,3/29/2024,27-043,DAL,@,SAC,W (+4),1,22:03,3,7,0.429,1,3,0.333,0,1,0,0,1,1,1,0,0,1,1,7,2.5,4,6.5
72,67,3/26/2024,27-040,DAL,@,SAC,W (+36),1,21:14,2,5,0.4,2,4,0.5,2,2,1,0,3,3,3,1,1,0,0,8,10,25,6.5
71,66,3/25/2024,27-039,DAL,@,UTA,W (+10),1,17:55,2,3,0.667,0,1,0,2,3,0.667,0,1,1,0,1,0,0,1,6,5.2,-5,6.5
70,65,3/21/2024,27-035,DAL,,UTA,W (+16),1,24:27:00,4,4,1,0,0,,4,6,0.667,0,4,4,2,0,1,0,1,12,12.9,21,7.5
69,64,3/19/2024,27-033,DAL,@,SAS,W (+6),1,15:27,1,2,0.5,0,1,0,2,2,1,0,1,1,0,0,0,1,1,4,1.9,-2,7.5
68,63,3/17/2024,27-031,DAL,,DEN,W (+2),1,24:29:00,4,11,0.364,0,3,0,1,2,0.5,6,2,8,1,0,0,0,1,9,7.6,20,5.5
67,62,3/14/2024,27-028,DAL,@,OKC,L (-7),1,31:51:00,4,6,0.667,2,2,1,0,0,,1,0,1,0,1,0,1,4,10,6.5,-17,7.5
66,61,3/13/2024,27-027,DAL,,GSW,W (+10),1,18:46,3,4,0.75,0,1,0,1,2,0.5,2,1,3,0,0,0,2,0,7,4.7,3,5.5
63,58,3/7/2024,27-021,DAL,,MIA,W (+6),1,11:50,0,2,0,0,1,0,1,2,0.5,1,1,2,1,0,0,1,1,1,-0.5,-6,6.5
55,50,2/14/2024,26-364,DAL,,SAS,W (+23),0,19:00,0,2,0,0,1,0,0,0,,1,2,3,0,0,0,1,0,0,-1.1,7,4.5
