Date,Matchup,Score,Spread Result,Minutes,Prop Line,PTS,REBS,ASSISTS,3s Scored,STEALS,BLOCKS,FGM-FGA (%),FTM-FTA (%),3PM-3PA (%)
6/17,@BOS,L 106-88,,24.0,8.5,U 2,4.0,0.0,0.0,0.0,1.0,1-2 (50%),0-0 (0%),0-0 (0%)
6/14,BOS,W 122-84,,22.0,8.5,O 11,12.0,0.0,1.0,1.0,0.0,4-5 (80%),2-4 (50%),1-1 (100%)
6/12,BOS,L 106-99,,30.0,7.5,O 11,13.0,1.0,0.0,2.0,0.0,5-6 (83%),1-1 (100%),0-0 (0%)
6/9,@BOS,L 105-98,,19.0,6.5,U 2,7.0,0.0,0.0,0.0,0.0,1-3 (33%),0-0 (0%),0-0 (0%)
6/6,@BOS,L 107-89,,18.0,8.5,U 2,5.0,1.0,0.0,1.0,0.0,1-1 (100%),0-2 (0%),0-0 (0%)
5/30,@MIN,W 124-103,,25.0,8.5,O 9,8.0,3.0,0.0,0.0,3.0,3-3 (100%),3-6 (50%),0-0 (0%)
5/26,MIN,W 116-107,,9.0,8.5,U 6,3.0,2.0,0.0,0.0,1.0,3-3 (100%),0-0 (0%),0-0 (0%)
5/24,@MIN,W 109-108,,27.0,7.5,O 14,9.0,2.0,0.0,0.0,0.0,6-6 (100%),2-2 (100%),0-0 (0%)
5/22,@MIN,W 108-105,,27.0,7.5,O 9,11.0,3.0,0.0,0.0,2.0,4-4 (100%),1-1 (100%),0-0 (0%)
5/18,OKC,W 117-116,,30.0,7.5,O 12,15.0,3.0,0.0,1.0,1.0,5-6 (83%),2-3 (67%),0-0 (0%)
5/15,@OKC,W 104-92,,23.0,7.5,O 11,10.0,1.0,0.0,1.0,1.0,3-4 (75%),5-6 (83%),0-0 (0%)
5/13,OKC,L 100-96,,25.0,7.5,U 7,6.0,2.0,0.0,0.0,4.0,3-7 (43%),1-3 (33%),0-0 (0%)
5/11,OKC,W 105-101,,27.0,5.5,O 12,8.0,1.0,0.0,0.0,0.0,2-7 (29%),8-12 (67%),0-0 (0%)
5/9,@OKC,W 119-110,,20.0,6.5,U 2,4.0,1.0,0.0,0.0,1.0,1-7 (14%),0-0 (0%),0-0 (0%)
5/7,@OKC,L 117-95,,13.0,8.5,U 2,4.0,1.0,0.0,0.0,0.0,1-3 (33%),0-0 (0%),0-0 (0%)
5/3,LAC,W 114-101,,24.0,7.5,O 10,9.0,3.0,0.0,1.0,0.0,3-3 (100%),4-8 (50%),0-0 (0%)
5/1,@LAC,W 123-93,,25.0,7.5,O 12,7.0,1.0,0.0,0.0,1.0,5-5 (100%),2-2 (100%),0-0 (0%)
4/28,LAC,L 116-111,,18.0,7.5,O 8,6.0,1.0,0.0,1.0,0.0,4-4 (100%),0-1 (0%),0-0 (0%)
4/26,LAC,W 101-90,,15.0,6.5,O 13,2.0,0.0,0.0,0.0,2.0,6-8 (75%),1-2 (50%),0-0 (0%)
4/23,@LAC,W 96-93,,21.0,5.5,O 7,9.0,1.0,0.0,1.0,0.0,2-5 (40%),3-6 (50%),0-0 (0%)
4/21,@LAC,L 109-97,,19.0,5.5,U 3,4.0,0.0,0.0,0.0,3.0,1-3 (33%),1-2 (50%),0-0 (0%)
3/31,@HOU,W 125-107,,13.0,6.5,U 2,2.0,0.0,0.0,1.0,2.0,1-1 (100%),0-0 (0%),0-0 (0%)
3/29,@SAC,W 107-103,,24.0,6.5,O 12,9.0,2.0,0.0,0.0,1.0,5-7 (71%),2-4 (50%),0-0 (0%)
3/26,@SAC,W 132-96,,22.0,6.5,U 4,7.0,1.0,0.0,1.0,2.0,2-5 (40%),0-0 (0%),0-0 (0%)
3/25,@UTH,W 115-105,,18.0,7.5,U 6,9.0,0.0,0.0,1.0,0.0,3-3 (100%),0-0 (0%),0-0 (0%)
3/21,UTH,W 113-97,,15.0,8.5,U 6,5.0,1.0,0.0,0.0,0.0,3-5 (60%),0-2 (0%),0-0 (0%)
3/19,@SAS,W 113-107,,16.0,7.5,O 12,5.0,1.0,0.0,0.0,1.0,5-7 (71%),2-2 (100%),0-0 (0%)
3/17,DEN,W 107-105,,23.0,5.5,O 14,8.0,0.0,0.0,0.0,2.0,7-8 (88%),0-3 (0%),0-0 (0%)
3/14,@OKC,L 126-119,,14.0,7.5,U 4,2.0,0.0,0.0,0.0,0.0,2-3 (67%),0-0 (0%),0-0 (0%)
3/13,GSW,W 109-99,,20.0,6.5,O 12,8.0,0.0,0.0,0.0,2.0,6-8 (75%),0-0 (0%),0-0 (0%)
3/11,@CHI,W 127-92,,20.0,NL,22,7.0,3.0,0.0,2.0,2.0,11-12 (92%),0-0 (0%),0-0 (0%)
3/7,MIA,W 114-108,,23.0,5.5,U 4,2.0,1.0,0.0,0.0,0.0,2-3 (67%),0-0 (0%),0-0 (0%)
3/5,IND,L 137-120,,16.0,6.5,U 0,1.0,0.0,0.0,0.0,0.0,0-2 (0%),0-0 (0%),0-0 (0%)
3/3,PHI,L 120-116,,18.0,8.5,U 4,3.0,0.0,0.0,0.0,1.0,2-3 (67%),0-0 (0%),0-0 (0%)
3/1,@BOS,L 138-110,,23.0,6.5,O 15,4.0,1.0,0.0,2.0,1.0,7-7 (100%),1-2 (50%),0-0 (0%)
2/28,@TOR,W 136-125,,23.0,7.5,O 9,4.0,1.0,0.0,2.0,5.0,4-4 (100%),1-2 (50%),0-0 (0%)
2/27,@CLE,L 121-119,,22.0,5.5,O 9,6.0,0.0,0.0,0.0,2.0,4-4 (100%),1-4 (25%),0-0 (0%)
2/25,@IND,L 133-111,,14.0,7.5,U 4,3.0,0.0,0.0,4.0,0.0,2-3 (67%),0-1 (0%),0-0 (0%)
2/22,PHO,W 123-113,,16.0,8.5,U 5,4.0,1.0,0.0,0.0,2.0,2-3 (67%),1-2 (50%),0-0 (0%)
2/14,SAS,W 116-93,,17.0,6.5,O 8,5.0,1.0,0.0,0.0,4.0,3-5 (60%),2-2 (100%),0-0 (0%)
1/29,ORL,W 131-129,,41.0,9.5,O 20,11.0,1.0,0.0,1.0,1.0,8-9 (89%),4-9 (44%),0-0 (0%)
1/27,SAC,L 120-115,,31.0,8.5,O 13,9.0,0.0,0.0,1.0,0.0,6-9 (67%),1-2 (50%),0-0 (0%)
1/26,@ATL,W 148-143,,28.0,9.5,U 9,11.0,4.0,0.0,1.0,4.0,4-7 (57%),1-2 (50%),0-0 (0%)
1/24,PHO,L 132-109,,25.0,7.5,O 8,2.0,1.0,0.0,1.0,1.0,4-5 (80%),0-0 (0%),0-0 (0%)
1/22,BOS,L 119-110,,25.0,7.5,U 6,8.0,1.0,0.0,0.0,2.0,3-3 (100%),0-0 (0%),0-0 (0%)
1/17,@LAL,L 127-110,,28.0,7.5,O 16,11.0,2.0,0.0,1.0,0.0,8-9 (89%),0-0 (0%),0-0 (0%)
1/15,NOR,W 125-120,,26.0,9.5,U 6,12.0,1.0,0.0,0.0,0.0,2-2 (100%),2-2 (100%),0-0 (0%)
1/3,POR,W 126-97,,19.0,10.5,U 0,4.0,4.0,0.0,2.0,3.0,0-1 (0%),0-0 (0%),0-0 (0%)
1/1,@UTH,L 127-90,,25.0,9.5,O 10,6.0,2.0,0.0,1.0,1.0,5-8 (63%),0-0 (0%),0-0 (0%)
12/30,@GSW,W 132-122,,35.0,9.5,O 12,14.0,1.0,0.0,0.0,0.0,5-7 (71%),2-3 (67%),0-0 (0%)
12/28,@MIN,L 118-110,,15.0,NL,2,4.0,2.0,0.0,0.0,0.0,1-4 (25%),0-0 (0%),0-0 (0%)
12/27,CLE,L 113-110,,25.0,NL,4,4.0,1.0,0.0,0.0,2.0,2-2 (100%),0-1 (0%),0-0 (0%)
12/25,@PHO,W 128-114,,32.0,NL,20,10.0,1.0,0.0,0.0,0.0,8-9 (89%),4-9 (44%),0-0 (0%)
12/16,@POR,W 131-120,,6.0,10.5,U 0,2.0,0.0,0.0,0.0,0.0,0-1 (0%),0-0 (0%),0-0 (0%)
12/14,MIN,L 119-101,,32.0,8.5,O 15,6.0,0.0,0.0,1.0,2.0,7-9 (78%),1-2 (50%),0-0 (0%)
12/12,LAL,W 127-125,,30.0,8.5,U 8,8.0,0.0,0.0,2.0,3.0,4-7 (57%),0-0 (0%),0-0 (0%)
12/11,@MEM,W 120-113,,35.0,8.5,O 16,16.0,2.0,0.0,0.0,1.0,8-9 (89%),0-0 (0%),0-0 (0%)
12/8,@POR,W 125-112,,28.0,8.5,O 10,9.0,2.0,0.0,1.0,2.0,5-6 (83%),0-0 (0%),0-0 (0%)
12/6,UTH,W 147-97,,24.0,7.5,O 10,4.0,1.0,0.0,1.0,2.0,5-6 (83%),0-0 (0%),0-0 (0%)
12/2,OKC,L 126-120,,39.0,NL,20,16.0,0.0,0.0,1.0,7.0,9-9 (100%),2-5 (40%),0-0 (0%)
12/1,MEM,L 108-94,,23.0,10.5,U 4,5.0,1.0,0.0,1.0,2.0,2-5 (40%),0-0 (0%),0-0 (0%)
11/28,HOU,W 121-115,,28.0,7.5,O 8,5.0,2.0,0.0,0.0,2.0,4-4 (100%),0-0 (0%),0-0 (0%)
11/22,@LAL,W 104-101,,19.0,7.5,U 2,10.0,3.0,0.0,0.0,0.0,1-3 (33%),0-0 (0%),0-0 (0%)
11/19,SAC,L 129-113,,29.0,9.5,U 6,9.0,0.0,0.0,1.0,2.0,3-6 (50%),0-0 (0%),0-0 (0%)
11/18,@MIL,L 132-125,,24.0,7.5,U 6,10.0,2.0,0.0,0.0,1.0,3-4 (75%),0-0 (0%),0-0 (0%)
11/15,@WAS,W 130-117,,24.0,10.5,O 17,9.0,2.0,0.0,1.0,2.0,7-8 (88%),3-3 (100%),0-0 (0%)
11/14,@NOR,L 131-110,,21.0,8.5,U 4,9.0,2.0,0.0,0.0,0.0,1-2 (50%),2-2 (100%),0-1 (0%)
11/12,@NOR,W 136-124,,26.0,8.5,O 10,2.0,0.0,0.0,1.0,2.0,4-5 (80%),2-4 (50%),0-0 (0%)
11/10,LAC,W 144-126,,26.0,NL,6,4.0,1.0,0.0,0.0,1.0,3-8 (38%),0-0 (0%),0-0 (0%)
11/6,@ORL,W 117-102,,16.0,7.5,O 10,5.0,0.0,0.0,1.0,1.0,4-5 (80%),2-2 (100%),0-0 (0%)
11/5,CHA,W 124-118,,32.0,7.5,O 15,14.0,1.0,0.0,0.0,1.0,7-9 (78%),1-2 (50%),0-0 (0%)
11/3,@DEN,L 125-114,,25.0,6.5,U 4,4.0,0.0,0.0,1.0,1.0,2-3 (67%),0-0 (0%),0-1 (0%)
11/1,CHI,W 114-105,,33.0,7.5,U 7,13.0,6.0,0.0,2.0,1.0,3-5 (60%),1-4 (25%),0-0 (0%)
10/30,@MEM,W 125-110,,14.0,9.5,U 2,6.0,0.0,0.0,0.0,1.0,1-2 (50%),0-0 (0%),0-0 (0%)
10/27,BKN,W 125-120,,17.0,9.5,U 9,2.0,0.0,0.0,0.0,1.0,4-4 (100%),1-2 (50%),0-0 (0%)
10/25,@SAS,W 126-119,,31.0,6.5,O 16,10.0,1.0,0.0,1.0,1.0,7-8 (88%),2-3 (67%),0-0 (0%)
Averages,,,,23.1,7.8,8.5,7.0,1.1,0.0,0.6,1.3,70%,55%,33%
