Rk,G,Date,Age,Tm,LOC,Opp,W/L,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,4/21/2024,24-052,IND,@,MIL,L (-15),1,37:43:00,4,7,0.571,1,3,0.333,0,0,,1,6,7,8,1,1,3,0,9,12.5,-3
2,2,4/23/2024,24-054,IND,@,MIL,W (+17),1,36:56:00,4,10,0.4,3,7,0.429,1,2,0.5,1,3,4,12,1,1,2,4,12,14.3,17
3,3,4/26/2024,24-057,IND,,MIL,W (+3),1,45:50:00,8,22,0.364,1,12,0.083,1,1,1,5,5,10,16,0,1,4,1,18,18.3,16
4,4,4/28/2024,24-059,IND,,MIL,W (+13),1,32:02:00,8,16,0.5,5,12,0.417,3,3,1,0,4,4,4,1,0,3,0,24,18,13
5,5,4/30/2024,24-061,IND,@,MIL,L (-23),1,33:51:00,6,14,0.429,4,10,0.4,0,0,,1,3,4,6,0,0,2,1,16,12,-14
6,6,5/2/2024,24-063,IND,,MIL,W (+22),1,31:38:00,7,16,0.438,2,10,0.2,1,1,1,1,5,6,10,0,0,2,1,17,15.4,12
7,7,5/6/2024,24-067,IND,@,NYK,L (-4),1,36:08:00,2,6,0.333,2,5,0.4,0,0,,0,2,2,8,4,0,3,0,6,9.8,-12
8,8,5/8/2024,24-069,IND,@,NYK,L (-9),1,34:41:00,11,19,0.579,7,11,0.636,5,6,0.833,2,4,6,9,3,0,2,0,34,34.6,-17
9,9,5/10/2024,24-071,IND,,NYK,W (+5),1,38:07:00,14,26,0.538,6,16,0.375,1,1,1,0,4,4,7,2,1,2,1,35,28.8,16
10,10,5/12/2024,24-073,IND,,NYK,W (+32),1,27:32:00,8,15,0.533,4,10,0.4,0,0,,0,6,6,5,0,0,0,2,20,17.2,31
11,11,5/14/2024,24-075,IND,@,NYK,L (-30),1,33:58:00,5,9,0.556,1,4,0.25,2,2,1,0,2,2,5,2,2,2,0,13,14.2,-22
12,12,5/17/2024,24-078,IND,,NYK,W (+13),1,32:09:00,6,12,0.5,3,8,0.375,0,0,,0,6,6,9,0,2,1,0,15,17.5,11
13,13,5/19/2024,24-080,IND,@,NYK,W (+21),1,32:54:00,10,17,0.588,6,12,0.5,0,1,0,1,3,4,6,1,1,2,2,26,22.4,21
