Rk,G,Date,Age,Tm,LOC,Opp,W/L,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Line
13,13,5/19/2024,24-080,IND,@,NYK,W (+21),1,32:54:00,10,17,0.588,6,12,0.5,0,1,0,1,3,4,6,1,1,2,2,26,22.4,21,18.5
12,12,5/17/2024,24-078,IND,,NYK,W (+13),1,32:09:00,6,12,0.5,3,8,0.375,0,0,,0,6,6,9,0,2,1,0,15,17.5,11,19.5
11,11,5/14/2024,24-075,IND,@,NYK,L (-30),1,33:58:00,5,9,0.556,1,4,0.25,2,2,1,0,2,2,5,2,2,2,0,13,14.2,-22,20.5
10,10,5/12/2024,24-073,IND,,NYK,W (+32),1,27:32:00,8,15,0.533,4,10,0.4,0,0,,0,6,6,5,0,0,0,2,20,17.2,31,21.5
9,9,5/10/2024,24-071,IND,,NYK,W (+5),1,38:07:00,14,26,0.538,6,16,0.375,1,1,1,0,4,4,7,2,1,2,1,35,28.8,16,19.5
8,8,5/8/2024,24-069,IND,@,NYK,L (-9),1,34:41:00,11,19,0.579,7,11,0.636,5,6,0.833,2,4,6,9,3,0,2,0,34,34.6,-17,16.5
7,7,5/6/2024,24-067,IND,@,NYK,L (-4),1,36:08:00,2,6,0.333,2,5,0.4,0,0,,0,2,2,8,4,0,3,0,6,9.8,-12,17.5
6,6,5/2/2024,24-063,IND,,MIL,W (+22),1,31:38:00,7,16,0.438,2,10,0.2,1,1,1,1,5,6,10,0,0,2,1,17,15.4,12,17.5
5,5,4/30/2024,24-061,IND,@,MIL,L (-23),1,33:51:00,6,14,0.429,4,10,0.4,0,0,,1,3,4,6,0,0,2,1,16,12,-14,17.5
4,4,4/28/2024,24-059,IND,,MIL,W (+13),1,32:02:00,8,16,0.5,5,12,0.417,3,3,1,0,4,4,4,1,0,3,0,24,18,13,17.5
3,3,4/26/2024,24-057,IND,,MIL,W (+3),1,45:50:00,8,22,0.364,1,12,0.083,1,1,1,5,5,10,16,0,1,4,1,18,18.3,16,17.5
2,2,4/23/2024,24-054,IND,@,MIL,W (+17),1,36:56:00,4,10,0.4,3,7,0.429,1,2,0.5,1,3,4,12,1,1,2,4,12,14.3,17,19.5
1,1,4/21/2024,24-052,IND,@,MIL,L (-15),1,37:43:00,4,7,0.571,1,3,0.333,0,0,,1,6,7,8,1,1,3,0,9,12.5,-3,20.5
82,69,4/14/2024,24-045,IND,,ATL,W (+42),1,25:25:00,5,10,0.5,0,4,0,2,3,0.667,0,2,2,13,3,1,2,3,12,16.8,27,18.5
81,68,4/12/2024,24-043,IND,@,CLE,L (-9),1,35:29:00,7,13,0.538,4,10,0.4,1,1,1,0,6,6,12,1,0,5,1,19,18.5,-11,18.5
80,67,4/9/2024,24-040,IND,@,TOR,W (+17),1,31:05:00,10,16,0.625,3,8,0.375,7,10,0.7,0,5,5,5,2,1,2,1,30,26.9,15,18.5
79,66,4/7/2024,24-038,IND,,MIA,W (+2),1,32:57:00,3,10,0.3,2,7,0.286,4,4,1,0,4,4,8,0,2,3,2,12,10.6,3,18.5
78,65,4/5/2024,24-036,IND,,OKC,W (+14),1,35:42:00,3,8,0.375,2,6,0.333,0,0,,0,2,2,11,1,0,2,1,8,10.5,0,19.5
77,64,4/3/2024,24-034,IND,@,BRK,L (-4),1,36:58:00,9,22,0.409,5,14,0.357,1,1,1,1,2,3,8,2,2,0,0,24,22.5,3,19.5
76,63,4/1/2024,24-032,IND,,BRK,W (+22),1,26:43:00,9,15,0.6,4,7,0.571,5,5,1,0,4,4,13,1,1,0,1,27,31.7,26,18.5
75,62,3/29/2024,24-029,IND,,LAL,W (+19),1,33:00:00,7,15,0.467,3,8,0.375,4,4,1,0,8,8,8,2,0,2,2,21,20.5,27,18.5
74,61,3/27/2024,24-027,IND,@,CHI,L (-26),1,31:04:00,4,15,0.267,3,11,0.273,2,3,0.667,2,2,4,5,0,0,2,2,13,6.4,-7,18.5
73,60,3/25/2024,24-025,IND,@,LAC,W (+17),1,31:00:00,7,12,0.583,6,9,0.667,1,1,1,0,1,1,9,2,0,3,2,21,20.2,3,18.5
72,59,3/24/2024,24-024,IND,@,LAL,L (-5),1,32:47:00,5,13,0.385,2,6,0.333,0,0,,1,5,6,10,2,0,1,1,12,14.7,-12,19.5
71,58,3/22/2024,24-022,IND,@,GSW,W (+12),1,37:50:00,9,18,0.5,4,8,0.5,4,5,0.8,0,2,2,11,4,3,1,0,26,30,25,18.5
70,57,3/20/2024,24-020,IND,@,DET,W (+19),1,25:56:00,9,13,0.692,1,3,0.333,1,2,0.5,0,3,3,9,4,0,2,1,20,22.9,18,19.5
