Date,Matchup,Score,Spread Result,Minutes,Prop Line,PTS,REBS,ASSISTS,3s Scored,STEALS,BLOCKS,FGM-FGA (%),FTM-FTA (%),3PM-3PA (%)
5/19/2024,New York Logo @NYK,W 130-109,IND +2.5,33,18.5,O,26,4,6,6,1,1,10-17 (59%),0-1 (0%)
5/17/2024,New York Logo NYK,W 116-103,IND -4.5,32,19.5,U,15,6,9,3,0,2,6-12 (50%),0-0 (0%)
5/14/2024,New York Logo @NYK,L 121-91,NYK -1.5,34,20.5,U,13,2,5,1,2,2,5-9 (56%),2-2 (100%)
5/12/2024,New York Logo NYK,W 121-89,IND -6.0,28,21.5,U,20,6,5,4,0,0,8-15 (53%),0-0 (0%)
5/10/2024,New York Logo NYK,W 111-106,NYK +7.5,38,19.5,O,35,4,7,6,2,1,14-26 (54%),1-1 (100%)
5/8/2024,New York Logo @NYK,L 130-121,NYK -4.5,35,16.5,O,34,6,9,7,3,0,11-19 (58%),5-6 (83%)
5/6/2024,New York Logo @NYK,L 121-117,IND +6.0,36,17.5,U,6,2,8,2,4,0,2-6 (33%),0-0 (0%)
5/2/2024,Milwaukee Logo MIL,W 120-98,IND -6.0,32,17.5,U,17,6,10,2,0,0,7-16 (44%),1-1 (100%)
4/30/2024,Milwaukee Logo @MIL,L 115-92,MIL +5.0,34,17.5,U,16,4,6,4,0,0,6-14 (43%),0-0 (0%)
4/28/2024,Milwaukee Logo MIL,W 126-113,IND -10.0,32,17.5,O,24,4,4,5,1,0,8-16 (50%),3-3 (100%)
4/26/2024,Milwaukee Logo MIL,W 121-118,MIL +6.5,46,17.5,O,18,10,16,1,0,1,8-22 (36%),1-1 (100%)
4/23/2024,Milwaukee Logo @MIL,W 125-108,IND +1.0,37,19.5,U,12,4,12,3,1,1,4-10 (40%),1-2 (50%)
4/21/2024,Milwaukee Logo @MIL,L 109-94,MIL +1.5,38,20.5,U,9,7,8,1,1,1,4-7 (57%),0-0 (0%)
4/14/2024,Atlanta Logo ATL,W 157-115,IND -14.0,25,18.5,U,12,2,13,0,3,1,5-10 (50%),2-3 (67%)
4/12/2024,Cleveland Logo @CLE,L 129-120,CLE -3.0,35,18.5,O,19,6,12,4,1,0,7-13 (54%),1-1 (100%)
4/9/2024,Toronto Logo @TOR,W 140-123,IND -14.0,31,18.5,O,30,5,5,3,2,1,10-16 (63%),7-10 (70%)
4/7/2024,Miami Logo MIA,W 117-115,MIA +3.0,33,18.5,U,12,4,8,2,0,2,3-10 (30%),4-4 (100%)
4/5/2024,Oklahoma City Logo OKC,W 126-112,IND -6.5,36,19.5,U,8,2,11,2,1,0,3-8 (38%),0-0 (0%)
4/3/2024,Brooklyn Logo @BKN,L 115-111,BKN +7.0,37,19.5,O,24,3,8,5,2,2,9-22 (41%),1-1 (100%)
4/1/2024,Brooklyn Logo BKN,W 133-111,IND -12.5,27,18.5,O,27,4,13,4,1,1,9-15 (60%),5-5 (100%)
3/29/2024,Los Angeles Logo LAL,W 109-90,IND -3.5,33,18.5,O,21,8,8,3,2,0,7-15 (47%),4-4 (100%)
3/27/2024,Chicago Logo @CHI,L 125-99,CHI +3.0,31,18.5,U,13,4,5,3,0,0,4-15 (27%),2-3 (67%)
3/25/2024,Los Angeles Logo @LAC,W 133-116,IND +6.0,31,18.5,O,21,1,9,6,2,0,7-12 (58%),1-1 (100%)
