Date,Matchup,Score,Spread Result,Minutes,Prop Line,PTS,REBS,ASSISTS,3s Scored,STEALS,BLOCKS,FGM-FGA (%),FTM-FTA (%),3PM-3PA (%)
11/13,@ORL,L 94-90,ORL -1.0,40.0,18.5,U 9,1.0,11.0,2.0,0.0,0.0,3-14 (21%),1-1 (100%),2-8 (25%)
11/10,NYK,W 132-121,IND +3.5,35.0,18.5,O 35,2.0,14.0,4.0,2.0,0.0,11-18 (61%),9-11 (82%),4-10 (40%)
11/8,@CHA,L 103-83,CHA +6.5,34.0,19.5,U 6,7.0,9.0,0.0,1.0,1.0,2-11 (18%),2-2 (100%),0-4 (0%)
11/6,ORL,W 118-111,IND -5.5,37.0,18.5,U 17,3.0,4.0,3.0,1.0,0.0,6-11 (55%),2-2 (100%),3-5 (60%)
11/4,@DAL,W 134-127,IND +4.5,36.0,17.5,O 25,4.0,12.0,2.0,2.0,1.0,10-16 (63%),3-6 (50%),2-8 (25%)
11/1,@NOR,L 125-118,NOR +4.5,33.0,18.5,U 11,2.0,11.0,1.0,0.0,0.0,2-8 (25%),6-6 (100%),1-6 (17%)
10/30,BOS,W 135-132,IND +7.0,40.0,18.5,U 17,6.0,12.0,2.0,2.0,0.0,7-19 (37%),1-1 (100%),2-10 (20%)
10/28,@ORL,L 119-115,IND +5.5,35.0,16.5,O 19,9.0,10.0,4.0,1.0,0.0,6-15 (40%),3-4 (75%),4-9 (44%)
10/27,PHI,L 118-114,PHI +8.5,37.0,17.5,O 22,4.0,2.0,4.0,0.0,1.0,8-18 (44%),2-5 (40%),4-9 (44%)
10/25,@NYK,L 123-98,NYK -4.5,26.0,18.5,U 0,1.0,5.0,0.0,1.0,0.0,0-8 (0%),0-0 (0%),0-7 (0%)
10/23,@DET,W 115-109,IND -5.5,35.0,19.5,U 15,5.0,4.0,1.0,3.0,2.0,6-18 (33%),2-2 (100%),1-9 (11%)
Averages,,,,35.3,18.3,16.0,4.0,8.5,2.1,1.2,0.5,36%,85%,26%
